[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:07.900017523] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.900047523] (+0.000030000) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.900072571] (+0.000025048) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.900097714] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.900152857] (+0.000055143) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.900178285] (+0.000025428) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.900218380] (+0.000040095) 0 stack_usage: { pid = 6, func_ptr = 0x8032D71, usage_bytes = 1160 }
[01:00:07.900251142] (+0.000032762) 0 stack_usage: { pid = 6, func_ptr = 0x801A311, usage_bytes = 1288 }
[01:00:07.908886285] (+0.008635143) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.908912380] (+0.000026095) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.908943333] (+0.000030953) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.908970952] (+0.000027619) 0 stack_usage: { pid = 6, func_ptr = 0x801592D, usage_bytes = 1184 }
[01:00:07.908998190] (+0.000027238) 0 stack_usage: { pid = 6, func_ptr = 0x8013B7D, usage_bytes = 1256 }
[01:00:07.909032476] (+0.000034286) 0 stack_usage: { pid = 6, func_ptr = 0x8015B0D, usage_bytes = 1432 }
[01:00:07.909060190] (+0.000027714) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1512 }
[01:00:07.909089714] (+0.000029524) 0 stack_usage: { pid = 6, func_ptr = 0x8013B7D, usage_bytes = 1488 }
