[01:00:06.533052190] (+0.000028286) 0 stack_usage: { pid = 7, func_ptr = 0x80343A5, usage_bytes = 1120 }
[01:00:06.533082095] (+0.000029905) 0 stack_usage: { pid = 7, func_ptr = 0x8034509, usage_bytes = 736 }
[01:00:06.533159047] (+0.000076952) 0 stack_usage: { pid = 7, func_ptr = 0x802CB39, usage_bytes = 520 }
[01:00:06.533190095] (+0.000031048) 0 stack_usage: { pid = 7, func_ptr = 0x802BCE5, usage_bytes = 496 }
[01:00:06.533219904] (+0.000029809) 0 stack_usage: { pid = 7, func_ptr = 0x802CB39, usage_bytes = 608 }
[01:00:06.533260380] (+0.000040476) 0 stack_usage: { pid = 7, func_ptr = 0x801CB41, usage_bytes = 672 }
[01:00:06.533292666] (+0.000032286) 0 stack_usage: { pid = 7, func_ptr = 0x801CB41, usage_bytes = 664 }
[01:00:06.631439333] (+0.098146667) 0 stack_usage: { pid = 7, func_ptr = 0x802AFB5, usage_bytes = 544 }
[01:00:06.631469619] (+0.000030286) 0 stack_usage: { pid = 7, func_ptr = 0x802B72D, usage_bytes = 536 }
[01:00:06.631500000] (+0.000030381) 0 stack_usage: { pid = 7, func_ptr = 0x802CB99, usage_bytes = 592 }
[01:00:06.631530190] (+0.000030190) 0 stack_usage: { pid = 7, func_ptr = 0x802A60D, usage_bytes = 552 }
[01:00:06.631560285] (+0.000030095) 0 stack_usage: { pid = 7, func_ptr = 0x802AF55, usage_bytes = 552 }
[01:00:06.631587333] (+0.000027048) 0 stack_usage: { pid = 7, func_ptr = 0x802CBF1, usage_bytes = 608 }
[01:00:06.631614666] (+0.000027333) 0 stack_usage: { pid = 7, func_ptr = 0x8010109, usage_bytes = 600 }
[01:00:06.631642571] (+0.000027905) 0 stack_usage: { pid = 7, func_ptr = 0x801661D, usage_bytes = 664 }
